ID,meter_point_key,park_key,park_type,park_type_human,Round_Day(markets_at),contract_at,Round_Day(expires_at),Leistung [W],ownconsumption,latitude,longitude,Performance
1567,ZP_ID_1619,TEN_SO_Saterland_02_(RD),solar,Photovoltaikanlage,2022-01-10T00:00:00,,,187050,,53.13,7.66,0.0
1147,ZP_ID_1291,TEN_SO_Satrup_DE004005,solar,Photovoltaikanlage,2021-09-01T00:00:00,2018-10-01 02:00:00,,164280,0.7,54.7,9.57,0.0
712,ZP_ID_0659,TEN_SO_Scharbeutz_DE033000,solar,Photovoltaikanlage,2018-10-01T00:00:00,2018-08-30 02:00:00,,308000,0.7,54.04,10.65,0.0
937,ZP_ID_1124,TEN_SO_Schenefeld_DE004010,solar,Photovoltaikanlage,2020-12-01T00:00:00,2018-10-01 02:00:00,,194480,0.7,54.05,9.49,0.0
713,ZP_ID_0576,TEN_SO_Schiffdorf_DE015081,solar,Photovoltaikanlage,2018-10-01T00:00:00,2018-08-30 02:00:00,,138320,0.7,53.53,8.65,0.0
714,ZP_ID_0949,TEN_SO_Schladen_DE014046,solar,Photovoltaikanlage,2019-12-03T00:00:00,2018-08-30 02:00:00,,195300,0.7,52.02,10.55,0.0
715,ZP_ID_0701,TEN_SO_Schleswig_DE004002,solar,Photovoltaikanlage,2019-01-01T00:00:00,2018-08-30 02:00:00,,156060,0.7,54.53,9.53,0.0
716,ZP_ID_1072,TEN_SO_Schleswig_DE004096,solar,Photovoltaikanlage,2020-08-01T00:00:00,2018-10-01 02:00:00,,135300,0.7,54.53,9.58,0.0
1116,ZP_ID_1278,TEN_SO_Schloß Holte-Stukenbrock,solar,Photovoltaikanlage,2021-08-01T00:00:00,2021-06-22 02:00:00,,300000,0.8,51.91,8.64,0.0
717,ZP_ID_0893,TEN_SO_Schneverdingen_DE003079,solar,Photovoltaikanlage,2020-01-01T00:00:00,2018-08-30 02:00:00,,173250,0.7,53.12,9.78,0.0
718,ZP_ID_0930,TEN_SO_Schortens_DE015019,solar,Photovoltaikanlage,2019-11-29T00:00:00,2018-08-30 02:00:00,,164450,0.7,53.54,7.94,0.0
719,ZP_ID_0581,TEN_SO_Schwarzenbek_DE016029,solar,Photovoltaikanlage,2018-10-01T00:00:00,2018-08-30 02:00:00,,160720,0.7,53.51,10.5,0.0
720,ZP_ID_0877,TEN_SO_Schwebheim,solar,Photovoltaikanlage,2019-12-18T00:00:00,2019-08-01 02:00:00,,499800,,49.98,10.24,0.0
1259,ZP_ID_1395,TEN_SO_Schwebheim_(RD),solar,Photovoltaikanlage,2021-10-01T00:00:00,,,509760,,49.99,10.25,0.0
721,ZP_ID_1078,TEN_SO_Schweinfurt,solar,Photovoltaikanlage,2020-09-10T00:00:00,2020-07-15 02:00:00,,217280,,50.04,10.24,0.0
1153,ZP_ID_1311,TEN_SO_Schweinfurt_01_(RD),solar,Photovoltaikanlage,2021-10-01T00:00:00,,,364795,,50.04,10.24,0.0
1459,ZP_ID_1554,TEN_SO_Schweinfurt_02,solar,Photovoltaikanlage,2022-01-01T00:00:00,2021-11-16 01:00:00,,255000,0.6,50.03,10.24,0.0
1469,ZP_ID_1568,TEN_SO_Schweinfurt_02_(RD),solar,Photovoltaikanlage,2021-11-18T00:00:00,,,335400,,50.01,10.22,0.0
1151,ZP_ID_1330,TEN_SO_Schweinfurt_03_(RD),solar,Photovoltaikanlage,2021-10-01T00:00:00,,,184080,,50.02,10.22,0.0
1333,ZP_ID_1468,TEN_SO_Schweinfurt_04_(RD),solar,Photovoltaikanlage,2021-10-01T00:00:00,,,82880,,50.06,10.2,0.0
1332,ZP_ID_1469,TEN_SO_Schweinfurt_05_(RD),solar,Photovoltaikanlage,2021-10-01T00:00:00,,,76440,,50.06,10.2,0.0
869,VZP_ID_208,TEN_SO_Sedelsberg_01,solar,Photovoltaikanlage,2018-03-01T00:00:00,2017-11-24 01:00:00,,472750,0.15,53.03,7.75,0.0
870,VZP_ID_209,TEN_SO_Sedelsberg_02,solar,Photovoltaikanlage,2019-04-08T00:00:00,2017-11-24 01:00:00,,496000,0.15,53.03,7.75,0.0
2012,,TEN_SO_Seelze_DE018076,solar,Photovoltaikanlage,2023-05-01T00:00:00,2018-10-01 02:00:00,,164340,0.7,52.39,9.61,0.0
724,ZP_ID_0505,TEN_SO_Seggebruch,solar,Photovoltaikanlage,2018-05-01T00:00:00,2018-02-23 01:00:00,,341550,,52.29,9.1,0.0
1583,ZP_ID_1645,TEN_SO_Sehnde-Wehmingen,solar,Photovoltaikanlage,2022-05-16T00:00:00,2022-01-31 01:00:00,,99840,0.1,52.3,9.93,0.0
725,ZP_ID_1086,TEN_SO_Sehnde_DE006077,solar,Photovoltaikanlage,2020-09-01T00:00:00,2018-10-01 02:00:00,,198000,0.7,52.32,9.97,0.0
1020,ZP_ID_1219,TEN_SO_Sennfeld,solar,Photovoltaikanlage,2021-03-01T00:00:00,2021-01-15 01:00:00,,381000,0.2,50.05,10.27,0.0
938,ZP_ID_1120,TEN_SO_Silberstedt_DE004088,solar,Photovoltaikanlage,2020-11-01T00:00:00,2018-10-01 02:00:00,,204460,0.7,54.52,9.39,0.0
727,ZP_ID_0410,TEN_SO_Spenge,solar,Photovoltaikanlage,2017-08-01T00:00:00,2017-05-25 02:00:00,,318010,0.26,52.15,8.49,0.0
1823,ZP_ID_1820,TEN_SO_Stade-Haddorf,solar,Photovoltaikanlage,2022-10-01T00:00:00,2022-10-01 02:00:00,,190500,0.8,53.6,9.42,0.0
728,ZP_ID_0679,TEN_SO_Stade_DE003049,solar,Photovoltaikanlage,2018-11-07T00:00:00,2018-08-30 02:00:00,,154440,0.7,53.61,9.47,0.0
1206,ZP_ID_1322,TEN_SO_Stadthagen_(RD),solar,Photovoltaikanlage,2021-10-01T00:00:00,,,181740,,52.32,9.19,0.0
1149,ZP_ID_1358,TEN_SO_Stadthagen_02,solar,Photovoltaikanlage,2021-08-01T00:00:00,2021-08-01 02:00:00,,182250,0.7,52.32,9.19,0.0
1021,ZP_ID_1160,TEN_SO_Stadthagen_DE018054,solar,Photovoltaikanlage,2021-01-01T00:00:00,2018-08-30 02:00:00,,115240,0.7,52.33,9.2,0.0
1683,ZP_ID_1722,TEN_SO_Stadtoldendorf_DE018046_(RD),solar,Photovoltaikanlage,2022-03-01T00:00:00,,,107120,,51.88,9.62,0.0
1699,ZP_ID_1746,TEN_SO_Stammham,solar,Photovoltaikanlage,2022-05-01T00:00:00,2022-03-31 02:00:00,,83160,0.1,48.86,11.46,0.0
1476,ZP_ID_1635,TEN_SO_Stelle_DE003098,solar,Photovoltaikanlage,2022-03-01T00:00:00,2018-10-01 02:00:00,,198750,0.7,53.39,10.11,0.0
1111,ZP_ID_1270,TEN_SO_Stuhr_DE007007,solar,Photovoltaikanlage,2021-07-01T00:00:00,2018-10-01 02:00:00,,144300,0.7,53.03,8.75,0.0
726,ZP_ID_0904,TEN_SO_Sögel_DE025028,solar,Photovoltaikanlage,2019-11-08T00:00:00,2018-08-30 02:00:00,,138600,0.7,52.84,7.52,0.0
729,ZP_ID_0806,TEN_SO_Tangstedt_DE016040,solar,Photovoltaikanlage,2019-04-01T00:00:00,2018-08-30 02:00:00,,163080,0.7,53.73,10.1,0.0
730,ZP_ID_0577,TEN_SO_Tarmstedt_DE003054,solar,Photovoltaikanlage,2018-10-01T00:00:00,2018-08-30 02:00:00,,149520,0.7,53.21,9.04,0.0
1888,ZP_ID_1890,TEN_SO_Tarp_DE004081,solar,Photovoltaikanlage,2023-02-01T00:00:00,2018-10-01 02:00:00,,182500,0.7,54.66,9.4,0.0
1022,ZP_ID_1172,TEN_SO_Tostedt_DE003069,solar,Photovoltaikanlage,2021-01-01T00:00:00,2018-08-30 02:00:00,,205860,0.7,53.27,9.73,0.0
1376,ZP_ID_1480,TEN_SO_Traunreut_(RD),solar,Photovoltaikanlage,2021-10-01T00:00:00,,,211500,,47.97,12.61,0.0
731,ZP_ID_0827,TEN_SO_Trittau,solar,Photovoltaikanlage,2019-10-10T00:00:00,2019-03-19 01:00:00,,308850,0.11,53.61,10.41,0.0
1830,ZP_ID_1921,TEN_SO_Tutzing,solar,Photovoltaikanlage,2023-03-01T00:00:00,2023-02-01 01:00:00,,203000,0.3,47.89,11.24,0.0
1901,ZP_ID_1869,TEN_SO_Uetze_DE006071,solar,Photovoltaikanlage,2023-02-01T00:00:00,2018-10-01 02:00:00,,181440,0.7,52.46,10.2,0.0
1425,ZP_ID_1539,TEN_SO_Unterhaching_(RD),solar,Photovoltaikanlage,2021-10-01T00:00:00,,,101285,,48.06,11.6,0.0
1558,ZP_ID_1601,TEN_SO_Unterhaid,solar,Photovoltaikanlage,2022-01-01T00:00:00,2022-01-01 01:00:00,,1614000,,49.94,10.79,0.0
732,ZP_ID_0611,TEN_SO_Uslar_DE010005,solar,Photovoltaikanlage,2018-10-01T00:00:00,2018-08-30 02:00:00,,116480,0.7,51.66,9.63,0.0
733,ZP_ID_0684,TEN_SO_Vechelde_DE014042,solar,Photovoltaikanlage,2018-12-01T00:00:00,2018-08-30 02:00:00,,139860,0.7,52.26,10.36,0.0
1441,ZP_ID_1550,TEN_SO_Veitshöchheim_(RD),solar,Photovoltaikanlage,2021-11-01T00:00:00,,,154600,,49.83,9.9,0.0
734,ZP_ID_0605,TEN_SO_Velpke_DE026028,solar,Photovoltaikanlage,2018-10-01T00:00:00,2018-08-30 02:00:00,,162960,0.7,52.41,10.93,0.0
735,ZP_ID_0741,TEN_SO_Verden_DE007042,solar,Photovoltaikanlage,2019-01-01T00:00:00,2018-08-30 02:00:00,,151740,0.7,52.94,9.23,0.0
736,ZP_ID_0790,TEN_SO_Walsrode,solar,Photovoltaikanlage,2019-03-20T00:00:00,2019-02-06 01:00:00,,560000,,52.87,9.62,0.0
737,ZP_ID_0260,TEN_SO_Warmsen,solar,Photovoltaikanlage,2016-01-01T00:00:00,2015-11-30 01:00:00,,1497600,,52.47,8.86,0.0
738,ZP_ID_0683,TEN_SO_Wartmannsroth,solar,Photovoltaikanlage,2019-02-27T00:00:00,2018-06-26 02:00:00,,275550,,50.15,9.77,0.0
1436,ZP_ID_1798,TEN_SO_Wathlingen_DE006023,solar,Photovoltaikanlage,2022-09-01T00:00:00,2018-10-01 02:00:00,,195360,0.7,52.54,10.14,0.0
739,ZP_ID_0754,TEN_SO_Wedemark,solar,Photovoltaikanlage,2019-02-01T00:00:00,2018-10-04 02:00:00,,203130,0.46,52.55,9.76,0.0
