id,meter_point_key,park_key,park_type,Round_Month(markets_at),contract_at,Round_Month(expires_at),power,ownconsumption,latitude,longitude,contract_type
1159,"ZP_ID_1353","TEN_SO_Rosbach_02_(RD)","solar",2021-10-01T00:00:00,,,101400,,50.2681096,8.689340700000001,"redispatch_only"
708,"ZP_ID_0496","TEN_SO_Sachsenhagen","solar",2018-03-01T00:00:00,"2017-10-16 02:00:00",,313200,,52.394846,9.273391999999999,"online"
709,"ZP_ID_0633","TEN_SO_Salzgitter Thiede_DE014035","solar",2018-10-01T00:00:00,"2018-08-30 02:00:00",,117600,0.7,52.19431,10.4584285,"online_special"
710,"ZP_ID_0934","TEN_SO_Salzgitter_DE014000","solar",2019-12-01T00:00:00,"2018-08-30 02:00:00",,422840,0.7,52.05525,10.38512,"online_special"
711,"ZP_ID_0957","TEN_SO_Salzgitter_DE014012","solar",2019-12-01T00:00:00,"2018-08-30 02:00:00",,164920,0.7,52.0466459,10.37749,"online_special"
1786,"ZP_ID_1893","TEN_SO_Salzgitter_DE014037","solar",2023-02-01T00:00:00,"2018-10-01 02:00:00",,168720,0.7,52.1451524,10.3151695,"online_special"
1684,"ZP_ID_1718","TEN_SO_Salzhemmendorf_DE018061_(RD)","solar",2022-03-01T00:00:00,,,108630,,52.06524025,9.584114720000001,"redispatch_only_special"
1675,"ZP_ID_1716","TEN_SO_Sandesneben_DE016058_(RD)","solar",2022-03-01T00:00:00,,,110670,,53.6913232,10.5020857,"redispatch_only_special"
1406,"ZP_ID_1515","TEN_SO_Saterland_(RD)","solar",2021-10-01T00:00:00,,,119860,,53.1196987,7.6923029,"redispatch_only"
1412,"ZP_ID_1533","TEN_SO_Saterland_01_(RD)","solar",2021-10-01T00:00:00,,,402270,,53.029515,7.752965,"redispatch_only"
1567,"ZP_ID_1619","TEN_SO_Saterland_02_(RD)","solar",2022-01-01T00:00:00,,,187050,,53.1271806,7.6637812,"redispatch_only"
1147,"ZP_ID_1291","TEN_SO_Satrup_DE004005","solar",2021-09-01T00:00:00,"2018-10-01 02:00:00",,164280,0.7,54.6959329,9.571694300000001,"online_special"
712,"ZP_ID_0659","TEN_SO_Scharbeutz_DE033000","solar",2018-10-01T00:00:00,"2018-08-30 02:00:00",,308000,0.7,54.040565,10.6547119,"online_special"
937,"ZP_ID_1124","TEN_SO_Schenefeld_DE004010","solar",2020-12-01T00:00:00,"2018-10-01 02:00:00",,194480,0.7,54.04723,9.48818,"online_special"
713,"ZP_ID_0576","TEN_SO_Schiffdorf_DE015081","solar",2018-10-01T00:00:00,"2018-08-30 02:00:00",,138320,0.7,53.526586,8.647294,"online_special"
714,"ZP_ID_0949","TEN_SO_Schladen_DE014046","solar",2019-12-01T00:00:00,"2018-08-30 02:00:00",,195300,0.7,52.01901115,10.54963794,"online_special"
715,"ZP_ID_0701","TEN_SO_Schleswig_DE004002","solar",2019-01-01T00:00:00,"2018-08-30 02:00:00",,156060,0.7,54.5288728,9.532256,"online_special"
716,"ZP_ID_1072","TEN_SO_Schleswig_DE004096","solar",2020-08-01T00:00:00,"2018-10-01 02:00:00",,135300,0.7,54.5318197,9.575384700000001,"online_special"
1116,"ZP_ID_1278","TEN_SO_Schloß Holte-Stukenbrock","solar",2021-08-01T00:00:00,"2021-06-22 02:00:00",,300000,0.8,51.9050118,8.6403737,"online"
717,"ZP_ID_0893","TEN_SO_Schneverdingen_DE003079","solar",2020-01-01T00:00:00,"2018-08-30 02:00:00",,173250,0.7,53.1198484,9.7822598,"online_special"
718,"ZP_ID_0930","TEN_SO_Schortens_DE015019","solar",2019-11-01T00:00:00,"2018-08-30 02:00:00",,164450,0.7,53.5373503,7.9394055,"online_special"
719,"ZP_ID_0581","TEN_SO_Schwarzenbek_DE016029","solar",2018-10-01T00:00:00,"2018-08-30 02:00:00",,160720,0.7,53.5141,10.4982,"online_special"
720,"ZP_ID_0877","TEN_SO_Schwebheim","solar",2019-12-01T00:00:00,"2019-08-01 02:00:00",,499800,,49.9838356,10.2421548,"online"
1259,"ZP_ID_1395","TEN_SO_Schwebheim_(RD)","solar",2021-10-01T00:00:00,,,509760,,49.9875773,10.2480029,"redispatch_only"
721,"ZP_ID_1078","TEN_SO_Schweinfurt","solar",2020-09-01T00:00:00,"2020-07-15 02:00:00",,217280,,50.03594595,10.23874542,"online"
1153,"ZP_ID_1311","TEN_SO_Schweinfurt_01_(RD)","solar",2021-10-01T00:00:00,,,364795,,50.03667,10.23766,"redispatch_only"
1459,"ZP_ID_1554","TEN_SO_Schweinfurt_02","solar",2022-01-01T00:00:00,"2021-11-16 01:00:00",,255000,0.6,50.0266193,10.2380945,"online"
1469,"ZP_ID_1568","TEN_SO_Schweinfurt_02_(RD)","solar",2021-11-01T00:00:00,,,335400,,50.0141071,10.2170374,"redispatch_only"
1151,"ZP_ID_1330","TEN_SO_Schweinfurt_03_(RD)","solar",2021-10-01T00:00:00,,,184080,,50.01916,10.2237301,"redispatch_only"
1333,"ZP_ID_1468","TEN_SO_Schweinfurt_04_(RD)","solar",2021-10-01T00:00:00,,,82880,,50.0605506,10.1980677,"redispatch_only"
1332,"ZP_ID_1469","TEN_SO_Schweinfurt_05_(RD)","solar",2021-10-01T00:00:00,,,76440,,50.060218,10.1974853,"redispatch_only"
869,"VZP_ID_208","TEN_SO_Sedelsberg_01","solar",2018-03-01T00:00:00,"2017-11-24 01:00:00",,472750,0.15,53.029618,7.750467,"online"
870,"VZP_ID_209","TEN_SO_Sedelsberg_02","solar",2019-04-01T00:00:00,"2017-11-24 01:00:00",,496000,0.15,53.029618,7.750467,"online"
2012,,"TEN_SO_Seelze_DE018076","solar",2023-05-01T00:00:00,"2018-10-01 02:00:00",,164340,0.7,52.3927734,9.6124508,"online_special"
724,"ZP_ID_0505","TEN_SO_Seggebruch","solar",2018-05-01T00:00:00,"2018-02-23 01:00:00",,341550,,52.287279,9.100477,"online"
1583,"ZP_ID_1645","TEN_SO_Sehnde-Wehmingen","solar",2022-05-01T00:00:00,"2022-01-31 01:00:00",,99840,0.1,52.2993822,9.934408299999999,"online"
725,"ZP_ID_1086","TEN_SO_Sehnde_DE006077","solar",2020-09-01T00:00:00,"2018-10-01 02:00:00",,198000,0.7,52.3164606,9.972178,"online_special"
1020,"ZP_ID_1219","TEN_SO_Sennfeld","solar",2021-03-01T00:00:00,"2021-01-15 01:00:00",,381000,0.2,50.0465794,10.2711613,"online"
938,"ZP_ID_1120","TEN_SO_Silberstedt_DE004088","solar",2020-11-01T00:00:00,"2018-10-01 02:00:00",,204460,0.7,54.51842425,9.390016620000001,"online_special"
727,"ZP_ID_0410","TEN_SO_Spenge","solar",2017-08-01T00:00:00,"2017-05-25 02:00:00",,318010,0.26,52.154311,8.48606,"online"
1823,"ZP_ID_1820","TEN_SO_Stade-Haddorf","solar",2022-10-01T00:00:00,"2022-10-01 02:00:00",,190500,0.8,53.5980025,9.423399679999999,"online"
728,"ZP_ID_0679","TEN_SO_Stade_DE003049","solar",2018-11-01T00:00:00,"2018-08-30 02:00:00",,154440,0.7,53.6089626,9.47404029,"online_special"
1206,"ZP_ID_1322","TEN_SO_Stadthagen_(RD)","solar",2021-10-01T00:00:00,,,181740,,52.3215152,9.1940583,"redispatch_only"
1149,"ZP_ID_1358","TEN_SO_Stadthagen_02","solar",2021-08-01T00:00:00,"2021-08-01 02:00:00",,182250,0.7,52.3163537,9.193414300000001,"online"
1021,"ZP_ID_1160","TEN_SO_Stadthagen_DE018054","solar",2021-01-01T00:00:00,"2018-08-30 02:00:00",,115240,0.7,52.32754125,9.19835101,"online_special"
1683,"ZP_ID_1722","TEN_SO_Stadtoldendorf_DE018046_(RD)","solar",2022-03-01T00:00:00,,,107120,,51.8831347,9.618539739999999,"redispatch_only_special"
1699,"ZP_ID_1746","TEN_SO_Stammham","solar",2022-05-01T00:00:00,"2022-03-31 02:00:00",,83160,0.1,48.857331,11.459148,"online"
1476,"ZP_ID_1635","TEN_SO_Stelle_DE003098","solar",2022-03-01T00:00:00,"2018-10-01 02:00:00",,198750,0.7,53.3856027,10.1053653,"online_special"
1111,"ZP_ID_1270","TEN_SO_Stuhr_DE007007","solar",2021-07-01T00:00:00,"2018-10-01 02:00:00",,144300,0.7,53.0267582,8.754012700000001,"online_special"
